口径,日期,购电时间段,购电量(kWh),时段数
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,5:40-6:00,152.451822,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,7:40-9:00,450.693889,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,9:10-10:50,624.811225,10
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,11:00-11:10,9.490058,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,13:10-13:20,2.987792,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,13:40-14:30,108.512500,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,15:20-15:30,9.387906,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,16:30-17:40,401.524303,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,18:10-18:20,14.550158,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,19:10-20:00,94.663044,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,20:30-21:40,150.046278,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,22:00-22:20,58.025022,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-18,22:40-23:00,58.572906,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,0:00-0:20,15.163661,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,0:30-1:00,51.087050,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,1:20-2:20,146.952856,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,3:50-5:40,162.478164,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,6:30-7:00,127.635642,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,7:50-10:50,736.820261,18
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,11:30-11:50,50.644789,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,13:00-13:30,94.616592,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,14:20-14:30,8.976372,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,16:00-16:40,121.872678,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,17:10-17:30,26.282039,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,18:20-18:40,24.662428,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,19:00-19:20,22.193967,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,21:00-21:50,87.960317,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,22:00-22:10,4.040381,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,22:30-23:00,79.432975,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-20,23:40-0:00+1,157.605250,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-21,0:00-0:00+1,46181.429617,144
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,0:00-0:20,97.178939,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,0:30-2:00,312.277200,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,2:10-2:50,96.086617,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,3:20-3:30,14.848325,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,4:30-5:00,47.928517,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,5:50-6:10,177.634200,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,7:40-8:50,473.272906,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,9:30-10:00,44.539717,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,12:20-12:40,16.363522,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,13:00-14:30,354.516900,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,16:30-16:50,36.090083,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,17:00-17:40,339.299117,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,18:10-18:20,0.835528,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,19:30-21:40,431.052036,13
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,22:40-23:00,17.349833,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-22,23:30-0:00+1,60.827108,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,2:00-2:10,1.943967,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,2:40-3:00,4.983050,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,3:10-3:30,18.699467,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,4:20-5:00,150.272439,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,5:50-6:30,189.691842,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,7:50-8:00,188.638261,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,9:00-9:20,22.901100,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,9:50-10:10,25.284225,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,10:30-11:20,139.461122,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,12:00-12:30,54.008117,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,12:50-13:00,9.659028,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,13:50-14:00,2.790581,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,14:30-14:40,11.898264,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,16:00-17:40,408.261728,10
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,18:10-18:40,47.091517,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,19:30-19:40,24.442825,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,20:10-20:20,8.518875,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,21:00-21:50,113.642047,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,22:10-23:00,119.897542,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-23,23:20-0:00+1,41.816228,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,0:00-0:30,115.242250,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,0:50-1:00,19.750717,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,1:50-2:00,8.302867,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,2:30-3:00,8.171892,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,3:50-4:30,73.405539,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,5:20-5:30,19.901022,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,5:40-6:10,220.799031,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,6:30-7:00,79.477258,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,7:40-8:10,402.738175,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,8:50-10:10,461.449561,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,12:40-14:30,581.054300,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,14:50-16:20,215.674633,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,16:40-17:40,230.800067,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,18:10-18:20,1.719561,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,18:30-19:10,56.127314,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,19:30-19:50,10.183428,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,20:10-20:30,40.130428,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,21:00-21:40,151.730450,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,22:20-23:00,90.728561,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-24,23:30-0:00+1,33.579408,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,1:00-1:30,132.936983,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,1:50-2:20,59.835800,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,2:30-2:50,43.031006,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,3:50-4:10,79.991764,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,4:40-5:00,75.912172,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,5:40-6:20,256.343689,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,6:50-7:00,32.303197,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,7:40-8:10,262.677492,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,8:30-8:40,9.625836,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,10:10-10:50,121.119161,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,11:00-12:30,987.531125,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,12:50-13:10,54.418600,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,15:00-15:10,15.683153,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,15:40-16:10,29.779650,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,17:00-17:40,324.142861,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,18:30-18:50,7.200961,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,19:10-20:00,109.314403,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,20:30-21:40,232.197886,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-25,23:20-23:40,92.867917,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,0:30-0:40,20.737536,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,1:00-1:20,25.757806,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,3:20-4:00,117.075111,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,4:20-4:40,21.822428,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,4:50-5:20,47.707625,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,6:50-7:00,76.669667,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,7:20-7:30,18.030139,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,8:50-11:50,1228.391397,18
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,12:10-12:20,23.197922,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,13:00-13:10,5.910286,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,13:40-14:10,74.992700,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,15:00-15:20,18.429161,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,16:00-16:40,110.991011,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,17:00-17:30,95.941492,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,17:40-18:10,57.146403,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,18:30-18:50,71.130100,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,19:20-19:30,1.064461,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,19:50-20:50,169.304808,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,21:10-21:40,44.833625,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,22:20-22:50,74.943542,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,23:20-23:30,11.051892,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-27,23:40-0:00+1,186.770817,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-28,0:00-0:00+1,43470.445683,144
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,0:50-1:10,35.282203,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,1:30-2:00,136.349625,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,2:20-2:30,13.617400,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,2:40-3:00,34.196400,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,3:20-3:30,12.711794,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,3:50-4:10,18.167903,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,4:50-5:10,24.931839,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,5:40-6:00,143.977011,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,6:20-7:00,12.390183,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,7:40-8:00,164.043367,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,10:20-10:30,4.781256,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,11:20-11:40,25.005500,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,12:00-15:30,1412.753042,21
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,16:00-16:40,68.805333,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,16:50-17:40,192.301567,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,18:10-18:20,0.478597,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,19:10-20:30,193.718400,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,20:50-21:40,200.006303,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,22:10-23:00,149.282808,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-29,23:20-0:00+1,93.963361,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,0:00-0:10,1.052222,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,0:20-0:40,49.225394,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,1:10-1:20,4.305997,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,1:30-2:00,17.078742,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,3:50-4:10,29.274508,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,4:30-4:40,0.745408,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,5:40-6:10,179.842675,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,7:40-11:20,1320.024083,22
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,15:00-15:20,5.036439,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,15:40-16:00,54.425039,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,16:30-16:40,6.284689,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,17:00-17:40,282.316028,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,18:00-19:00,136.976317,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,21:00-21:40,196.776067,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,22:10-22:20,13.084781,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,22:30-22:50,27.279228,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-30,23:30-23:50,16.011861,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,0:00-0:20,35.023500,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,0:30-0:50,4.760450,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,1:30-2:20,104.655500,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,2:40-3:10,65.711050,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,3:30-3:50,14.129450,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,4:40-5:10,46.813728,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,5:40-6:10,163.328853,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,6:30-7:00,74.665092,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,7:40-8:10,312.229200,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,8:30-8:50,21.970833,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,9:30-11:40,832.420644,13
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,12:00-15:20,1609.830017,20
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,15:30-16:20,72.777053,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,16:40-16:50,0.721656,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,17:00-17:40,288.209378,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,18:10-18:30,26.041406,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,19:10-20:20,112.702100,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,20:30-21:40,274.083867,7
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,22:00-22:10,4.440089,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-12-31,23:30-0:00+1,172.257925,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,1:30-1:40,3.871967,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,2:20-2:30,9.240328,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,6:00-6:20,11.459222,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,6:40-7:50,596.122211,7
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,8:00-11:20,2386.271189,20
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,18:00-18:30,66.290017,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,19:20-19:50,79.150083,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,21:00-21:40,64.134661,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,22:40-23:00,64.198350,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-01,23:40-0:00+1,201.121806,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-02,0:00-0:00+1,43958.483167,144
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,0:20-0:40,23.915989,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,1:20-1:30,11.325686,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,1:50-2:20,56.609836,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,2:50-3:30,69.728225,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,3:50-4:40,188.753100,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,4:50-5:00,0.642933,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,5:40-8:40,2003.636000,18
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,9:00-9:50,613.598692,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,10:20-10:40,54.377300,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,16:50-17:40,321.832703,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,18:10-18:20,1.510189,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,19:10-20:40,111.681789,9
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,21:00-21:50,226.633603,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,22:20-23:20,112.344133,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-03,23:40-0:00+1,51.735556,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,0:20-0:30,31.121069,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,0:50-1:10,25.254506,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,1:30-2:00,59.694708,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,2:20-3:00,31.756556,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,5:40-6:50,279.579753,7
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,7:00-8:40,1114.150739,10
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,9:00-10:40,885.278433,10
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,11:00-11:20,76.744383,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,17:00-17:40,185.147072,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,18:20-18:40,27.380111,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,19:40-20:00,33.131939,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,20:40-21:40,102.208228,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-04,22:00-23:00,140.076350,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,0:00-0:30,89.993425,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,0:50-1:20,31.172475,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,1:30-1:50,19.454972,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,2:10-2:40,45.855100,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,2:50-3:00,13.192311,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,3:20-3:30,16.061561,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,3:40-5:00,247.296256,8
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,5:40-6:50,559.846311,7
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,7:00-8:50,1577.038406,11
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,9:00-9:50,629.185472,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,10:00-12:00,1678.662250,12
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,13:50-14:00,17.186831,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,17:00-17:40,265.259144,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,18:00-18:20,41.784089,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,18:30-18:50,39.105856,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,19:10-19:20,9.837531,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,20:00-20:30,31.359608,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,20:40-21:40,223.857167,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,23:00-23:10,0.405622,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-05,23:20-0:00+1,37.925706,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,0:10-0:30,30.437672,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,0:40-1:10,56.940369,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,1:30-1:50,28.775128,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,2:40-3:00,39.334561,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,3:20-4:00,93.568667,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,5:50-6:50,465.360281,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,7:00-7:30,229.534933,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,7:40-8:50,1202.021644,7
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,9:00-9:40,219.255044,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,10:00-10:40,310.171178,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,17:00-17:40,280.324861,4
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,18:10-18:20,7.654447,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,18:50-19:10,41.164225,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,20:00-20:50,63.185206,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,21:00-21:50,215.582700,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,22:10-22:20,0.772372,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,22:30-23:20,66.559939,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-06,23:30-23:40,29.572836,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,0:10-1:10,115.708653,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,1:40-2:00,28.476683,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,2:50-3:10,16.612586,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,3:50-4:00,1.153550,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,4:20-4:30,11.209481,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,5:00-6:40,155.983189,10
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,6:50-9:50,2779.349281,18
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,10:00-10:20,575.887867,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,10:30-11:00,171.699817,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,11:10-11:20,7.102572,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,11:40-11:50,38.603239,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,12:00-12:50,611.486628,5
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,13:50-14:00,15.364033,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,14:20-14:50,128.533183,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,15:50-16:00,46.213408,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,17:20-18:20,100.672756,6
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,18:50-19:20,42.423044,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,19:30-19:50,7.500639,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,20:20-20:50,47.147967,3
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,21:20-21:40,27.042144,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,22:00-22:20,33.545856,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,22:40-23:00,14.992972,2
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,23:20-23:30,6.134572,1
② 光伏用第 d 日 0:00 预报 + 负载用前一日剖面,2025-02-08,23:40-0:00+1,151.594711,2
